;Barcode;Title;Year;Location
354.2;TM024358;Rules of origin for textile product imports to the European Union;1998;Bibliotheek AMFI
354.2;HV018981;Refashioning the rag trade;2001;Bibliotheek AMFI
354.4;HV084624;Leven zonder olie;2007;Bibliotheek AMFI
354.6;TM016298;Textiles and clothing;1998;Bibliotheek AMFI
354.7;922086-10;Ervaringen van Nederlandse bedr?ven in ontwikkelingslanden;1987;Bibliotheek AMFI
354.7;TM011362;Tweedehands kleding en armoedebestr?ding;1994;Bibliotheek AMFI
354.7;TM044878;Wederz?dse belangen;1982;Bibliotheek AMFI
356.5;HV112859;Fugitive denim;2009;Bibliotheek AMFI
360.4;TM024870;Solidarity in autonomy;2000;Bibliotheek AMFI
360.4;TM010301;Benetton documentatiemap;1995;Bibliotheek AMFI
360.4;FM003012;The rise and fall of Marks & Spencer;2002;Bibliotheek AMFI
360.4;HV078252;It started with a kiss;2006;Bibliotheek AMFI
360.4;FM002865;Corporate responsibility report fy 2001;2001;Bibliotheek AMFI
360.4;HV009151;The house of Gucci;2001;Bibliotheek AMFI
360.4;TM016696;Mode für Millionen;1998;Bibliotheek AMFI
360.4;HV062888;De Nederlandse brei-industrie;2008;Bibliotheek AMFI
360.4;HV018291;World apparel companies;2002;Bibliotheek AMFI
360.4;HV068406;The Puma story;2008;Bibliotheek AMFI
360.4;TM010897;Swoosh;1993;Bibliotheek AMFI
360.4;HV060987;125 jaar Zwartjes van 1883;2008;Bibliotheek AMFI
360.4;HV043890;Fashion for the people;2007;Bibliotheek AMFI
360.5;TM042844;Besturen van organisaties;1991;Bibliotheek AMFI
360.6;TM000077;Ondernemingsplan;1993;Bibliotheek AMFI
360.6;HV061016;Principes van bedr?fseconomie;2008;Bibliotheek AMFI
360.8;TM044914;Internationaal ondernemen en de rechten van de mens;1979;Bibliotheek AMFI
360.9;TM000352;Organisation und Rentabilität von Änderungsateliers;1995;Bibliotheek AMFI
362;HV068344;Basics of financial management;2007;Bibliotheek AMFI
364.1;HV062896;Analyse und Planung im Outfit-Einzelhandel;2008;Bibliotheek AMFI
364.1;FM003385;Birnbaum's global guide to winning the great garment war;2000;Bibliotheek AMFI
364.1;FM002069;Costing right on target for textiles and apparel;2000;Bibliotheek AMFI
364.1;HV101784;Costing for the fashion industry;2011;Bibliotheek AMFI
366.1;HV107758;Change by design;2009;Bibliotheek AMFI
366.1;HV017638;The customer centric enterprise;2003;Bibliotheek AMFI
366.1;HV092024;Handbook of research in mass customization and personalization;2010;Bibliotheek AMFI
366.1;HV092023;Handbook of research in mass customization and personalization;2010;Bibliotheek AMFI
366.1;FM002062;Mass customisation in de kledingindustrie;2000;Bibliotheek AMFI
366.1;TM000428;Structure in fives;1993;Bibliotheek AMFI
366.3;FM003668;Marktgericht strategisch beleid;1993;Bibliotheek AMFI
366.3;TM024402;How to prepare a business plan;1998;Bibliotheek AMFI
366.3;TM041644;Ondernemingsstrategie;1993;Bibliotheek AMFI
366.3;TM011000;Grössenmanagement und kundenorientierte Restrukturierung;1996;Bibliotheek AMFI
366.3;TM042783;Betriebsstättenplanung in der Bekleidungsindustrie;1988;Bibliotheek AMFI
366.3;TM042427;Ondernemingsplanning in de prakt?k;1977;Bibliotheek AMFI
366.4;FM003022;The attention economy;2001;Bibliotheek AMFI
366.4;TM048210;Werken aan projecten;1992;Bibliotheek AMFI
366.4;TM000043;Werken aan projecten;1992;Bibliotheek AMFI
366.49;TM000122;De filosofie van het Japanse management;1983;Bibliotheek AMFI
366.5;FM002974;Benchmarking im Textileinzelhandel;1999;Bibliotheek AMFI
366.6;TM000069;Putting quality circles to work;1989;Bibliotheek AMFI
366.6;TM010014;Het organisatie-instrument;1995;Bibliotheek AMFI
366.6;TM042982;Erfolgreiches Management durch firmenübergreifende Partnerschaft;1992;Bibliotheek AMFI
366.6;TM042633;Kwaliteitszorg door management;1987;Bibliotheek AMFI
366.6;TM001826;ISO 9000-serie en kwaliteitshandboek;1991;Bibliotheek AMFI
366.6;TM043275;ISO 9000-serie en kwaliteitshandboek;1994;Bibliotheek AMFI
366.6;TM005835;ISO 9000-serie en kwaliteitshandboek;1994;Bibliotheek AMFI
366.6;TM000082;Klachtenbehandeling b? bedr?ven;1994;Bibliotheek AMFI
366.6;TM042634;Kwaliteitszorg in de prakt?k;1988;Bibliotheek AMFI
366.6;TM042632;Manager en produktkwaliteit;1989;Bibliotheek AMFI
366.6;HV021664;Duurzaam ondernemen;2001;Bibliotheek AMFI
366.9;TM000287;The changing apparel plant;1993;Bibliotheek AMFI
366.9;TM011288;The design agenda;1995;Bibliotheek AMFI
366.9;HV078366;Perry's Department Store;2006;Bibliotheek AMFI
366.9;HV111986;Cradle to cradle;2009;Bibliotheek AMFI
367.1;TM014147;Cases in organisational behaviour;1994;Bibliotheek AMFI
367.1;HV103338;Emotionomics;2009;Bibliotheek AMFI
367.1;96438-10;De onderbewuste partner;1987;Bibliotheek AMFI
367.1;HV052682;De bedr?fscultuur als ziel van de onderneming;2000;Bibliotheek AMFI
367.1;TM000455;Dimensions of flexibility in apparel production;1995;Bibliotheek AMFI
367.11;TM042496;Maatwerk in de confectie;1989;Bibliotheek AMFI
367.11;TM042497;Maatwerk in de confectie;1989;Bibliotheek AMFI
