;Barcode;Title;Year;Location
779.8;HV012304;Caroline Broadhead;2001;Bibliotheek AMFI
779.8;FM002476;Christo: the Pont Neuf, wrapped;1990;Bibliotheek AMFI
779.8;HV095170;Fashioning felt;2009;Bibliotheek AMFI
779.8;HV011609;Flexible 4;2003;Bibliotheek AMFI
779.8;TM024759;Flexible 3;1999;Bibliotheek AMFI
779.8;TM024758;Flexible 3;1999;Bibliotheek AMFI
779.8;HV114545;Gebreid goed.;2001;Bibliotheek AMFI
779.8;TM024635;Oro filato;1999;Bibliotheek AMFI
779.8;TM024824;World textiles;1999;Bibliotheek AMFI
779.8;FM002480;De kracht van zacht;1989;Bibliotheek AMFI
779.8;HV023886;Surfaces for stitch;2000;Bibliotheek AMFI
779.8;TM043234;Fifties furnishing fabrics;1989;Bibliotheek AMFI
 779.8  2004;HV107678;Jaarboek 2004;2005;Bibliotheek AMFI
 779.8  2007;HV107679;Jaarboek 2007;2008;Bibliotheek AMFI
779.8;HV113582;20th century pattern design;2011;Bibliotheek AMFI
779.8;HV114485;Utilité;2011;Bibliotheek AMFI
779.8;HV040251;Artwear;2005;Bibliotheek AMFI
779.8;HV056262;Extreme textiles;2005;Bibliotheek AMFI
779.8;TM024020;Structure and surface;1998;Bibliotheek AMFI
779.8;HV063764;Meshwork;2006;Bibliotheek AMFI
779.8;HV107688;Mode@MOTI;2013;Bibliotheek AMFI
779.8;FM002537;Mooie stukken;1998;Bibliotheek AMFI
779.8;TM045176;Machine-knitted Fabrics;1992;Bibliotheek AMFI
779.8;HV114615;African textiles today;2012;Bibliotheek AMFI
779.8;HV071375;Experimental textiles;2009;Bibliotheek AMFI
779.8;TM043232;Persian printed cottons;1989;Bibliotheek AMFI
779.8;TM008815;Persian printed cottons;1989;Bibliotheek AMFI
779.8;TM043233;Ikats;1989;Bibliotheek AMFI
780;TM002535;De luchtgitaar;1994;Bibliotheek AMFI
780;TM002525;Klare taal;1994;Bibliotheek AMFI
780;FM002411;Boy George & Culture Club;1984;Bibliotheek AMFI
780;TM041905;Cool cats;1981;Bibliotheek AMFI
780;TM043057;Elvis;1991;Bibliotheek AMFI
780;HV114604;David Bowie is the subject /;2013;Bibliotheek AMFI
780;TM003285;De duivel in vermomming;1994;Bibliotheek AMFI
780;TM041560;The art of the Beatles;1984;Bibliotheek AMFI
780;HV120362;Punk 365;2007;Bibliotheek AMFI
780;TM047895;Punk diary, 1970-79;1994;Bibliotheek AMFI
780;FM002967;The look;2001;Bibliotheek AMFI
780;TM041387;De gouden jaren van de rock;1991;Bibliotheek AMFI
780;TM045287;Madonna Megastar;1994;Bibliotheek AMFI
780;TM043049;The Motown album;1990;Bibliotheek AMFI
780;HV009147;Elvis fashion: from Memphis to Vegas;2003;Bibliotheek AMFI
780;HV022645;Who shot ya?;2002;Bibliotheek AMFI
780;TM043089;Rock dreams;1982;Bibliotheek AMFI
780;TM017901;Punk;1977;Bibliotheek AMFI
780;TM008075;A photographic record, 1969-1980;1994;Bibliotheek AMFI
780;TM041506;Heavy Metal;1992;Bibliotheek AMFI
780;TM024346;Vacant;1999;Bibliotheek AMFI
780;TM016697;Streetwise;1998;Bibliotheek AMFI
780;HV004518;Door!;2004;Bibliotheek AMFI
780;TM017902;Punk Rock;1978;Bibliotheek AMFI
780;HV050748;Een Nederlands wonder;1997;Bibliotheek AMFI
780;FM002446;Madonna;1989;Bibliotheek AMFI
780;TM024553;Madonna: the style book;1999;Bibliotheek AMFI
780;TM043244;Who's who in rock & roll;1991;Bibliotheek AMFI
780.2;TM002537;Gouden t?den;1994;Bibliotheek AMFI
780.2;HV071372;This is Work;2009;Bibliotheek AMFI
785.41;HV107655;Fashion designers at the opera;2011;Bibliotheek AMFI
785.7;HV071378;Who shot rock & roll;2009;Bibliotheek AMFI
785.7;TM014419;Rock fashion;1999;Bibliotheek AMFI
790.4;HV039646;DasArts;2000;Bibliotheek AMFI
790.9;HV062812;Costume symposium 2006;2007;Bibliotheek AMFI
791;HV078746;How to pass, kick, fall and run;2006;Bibliotheek AMFI
791.2;HV098581;Diaghilev and the golden age of the Ballets Russes, 1909-1929;2010;Bibliotheek AMFI
791.4;TM041245;Designing for the dancer;1981;Bibliotheek AMFI
791.43;TM009429;L'après-midi d'un faune;1983;Bibliotheek AMFI
791.43;FM006062;The art of the Ballets Russes;1990;Bibliotheek AMFI
791.43;TM041392;Ballets Russes;1989;Bibliotheek AMFI
791.5;HV096259;False start;2009;Bibliotheek AMFI
791.5;HV062597;Green world;2007;Bibliotheek AMFI
791.5;HV039400;Merce Cunningham, Robert Rauschenberg;2006;Bibliotheek AMFI
791.9;HV014705;Danse contemporaine;2004;Bibliotheek AMFI
792;FM004087;Bert Nuhaan;2002;Bibliotheek AMFI
792;FM003363;Costume in Greek classic drama;1962;Bibliotheek AMFI
792;TM009424;Fashioning the nation;1996;Bibliotheek AMFI
792;TM045170;Fellini: costumes and fashion;1996;Bibliotheek AMFI
792;TM043017;Hollywood and history;1987;Bibliotheek AMFI
792;TM022064;The costume technician's handbook;1992;Bibliotheek AMFI
792;TM022056;The costume designer's handbook;1992;Bibliotheek AMFI
792;TM043081;Theaterkostuums;1992;Bibliotheek AMFI
792;TM009428;Cecil Beaton, stage and film designs;1975;Bibliotheek AMFI
792;TM016001;Leon Bakst;1973;Bibliotheek AMFI
792;TM041180;N? no hana;1989;Bibliotheek AMFI
792;TM041555;Hollywood gekleed;1985;Bibliotheek AMFI
792;TM017509;Romantic and glamorous Hollywood design;1974;Bibliotheek AMFI
792.29;TM041368;N? no hana;1989;Bibliotheek AMFI
792.73;TM007611;Theatergöttinnen;1994;Bibliotheek AMFI
792.73;HV000957;Costume design in the movies;1991;Bibliotheek AMFI
792.73;FM003380;The costume book;2002;Bibliotheek AMFI
792.73;TM004977;Cecil Beaton;1994;Bibliotheek AMFI
792.73;HV114562;Staging fashion, 1880-1920;2012;Bibliotheek AMFI
794;TM009890;Verre vrienden van Jan Klaassen;1995;Bibliotheek AMFI
794.31;TM010494;Poppenkraam;1980;Bibliotheek AMFI
798;HV009181;The remembered film;2004;Bibliotheek AMFI
798.1;HV089253;Bambi vs. Godzilla;2007;Bibliotheek AMFI
798.1;FM002424;Video by artists;1976;Bibliotheek AMFI
798.11;HV005450;Magnum cinema;1995;Bibliotheek AMFI
798.14;HV005886;Cinéma cinéma;1999;Bibliotheek AMFI
798.14;TM041156;Film und Mode, Mode im Film;1990;Bibliotheek AMFI
798.15;TM045201;De verbeelding van het mannel?k lichaam;1993;Bibliotheek AMFI
798.2;HV002075;Film art;2004;Bibliotheek AMFI
798.2;HV002074;Film art;2004;Bibliotheek AMFI
798.2;HV039565;Color, the film reader;2006;Bibliotheek AMFI
798.3;HV031452;Made for each other;2007;Bibliotheek AMFI
798.3;HV113789;Fashion in film;2011;Bibliotheek AMFI
798.3;HV079365;2.0.0.6;2006;Bibliotheek AMFI
798.3;HV078010;Filmosophy;2006;Bibliotheek AMFI
798.3;HV114597;Hollywood costume;2012;Bibliotheek AMFI
798.3;HV063393;If looks could kill;2008;Bibliotheek AMFI
798.3;HV114618;Costume design;2012;Bibliotheek AMFI
798.4;HV114551;The story of film;2011;Bibliotheek AMFI
798.4;TM043172;Cut, the unseen cinema;1975;Bibliotheek AMFI
798.4;HV079397;Uncredited;2007;Bibliotheek AMFI
798.4;HV002637;Film history;2003;Bibliotheek AMFI
798.43;TM041390;Masters of starlight;1988;Bibliotheek AMFI
798.43;TM041565;Acting Hollywood style;1991;Bibliotheek AMFI
798.43;FM003372;Cinema;1993;Bibliotheek AMFI
798.43;HV118359;Fashioning Bollywood;2014;Bibliotheek AMFI
798.5;HV038966;Fred Astaire style;2004;Bibliotheek AMFI
798.5;TM024695;Undressing cinema;1997;Bibliotheek AMFI
798.5;HV037295;Hitchcock style;2004;Bibliotheek AMFI
798.5;TM024667;Fashion in film;1997;Bibliotheek AMFI
798.5;TM046627;Hollywood;1994;Bibliotheek AMFI
798.53;HV063926;Film world;2009;Bibliotheek AMFI
798.53;HV104959;Take 100;2010;Bibliotheek AMFI
798.55;TM043231;Screen lovers;1988;Bibliotheek AMFI
798.55;TM043249;Dick Tracy;1990;Bibliotheek AMFI
798.55;TM043032;Girls on film;1986;Bibliotheek AMFI
798.55;TM041337;Louise Brooks;1988;Bibliotheek AMFI
798.55;TM041475;Wicked women of the screen;1987;Bibliotheek AMFI
798.55;TM022054;John Wayne;1995;Bibliotheek AMFI
798.6;HV097938;Scriptwriting;2009;Bibliotheek AMFI
798.6;HV097937;Directing fiction;2009;Bibliotheek AMFI
798.6;HV037338;Ferretti;2004;Bibliotheek AMFI
798.6;HV092419;The language of film;2010;Bibliotheek AMFI
798.85;FM007228;Walt Disney;1975;Bibliotheek AMFI
799;HV114535;Picture show;2003;Bibliotheek AMFI
799.8;TM047909;Mode in beweging;1992;Bibliotheek AMFI
799.8;TM042766;Mode in beweging;1992;Bibliotheek AMFI
799.9;HV038559;Rebel style;2006;Bibliotheek AMFI
815.3;TM045167;Van Abélard tot Zoroaster;1994;Bibliotheek AMFI
815.7;HV063970;Fashion in fiction;2009;Bibliotheek AMFI
829.5;TM008671;Completely Mad;1991;Bibliotheek AMFI
831;TM045189;Roget's thesaurus of English words and phrases;1987;Bibliotheek AMFI
844.6;HV113872;Taalmaskerade;1993;Bibliotheek AMFI
900.6;TM043754;Illustrated atlas of world history;1992;Bibliotheek AMFI
902.2;TM043114;AnIntroduction to archeology;1992;Bibliotheek AMFI
902.2;TM043099;Geïllustreerde wereldgeschiedenis van de archeologie;1986;Bibliotheek AMFI
902.2;TM043752;The sea remembers;1991;Bibliotheek AMFI
902.2;HV089865;Textiel in context;2007;Bibliotheek AMFI
902.3;TM041434;Alfabetten, c?fers en miniaturen uit de Middeleeuwen;1988;Bibliotheek AMFI
903.1;TM003270;Women around the world and through the ages;1990;Bibliotheek AMFI
903.3;TM041573;Ocean traders;1990;Bibliotheek AMFI
904.1;TM016209;Harem;1989;Bibliotheek AMFI
904.1;TM010629;New raiments of self;1997;Bibliotheek AMFI
904.9;FM003726;The cultural economy of cities;2000;Bibliotheek AMFI
905;HV023318;Visual studies;2003;Bibliotheek AMFI
905.1;HV001097;Les années 70;1993;Bibliotheek AMFI
905.1;HV022057;Approaches to understanding visual culture;2001;Bibliotheek AMFI
905.1;HV004767;Approaches to understanding visual culture;2001;Bibliotheek AMFI
905.1;HV008838;Media semiotics;2002;Bibliotheek AMFI
905.1;TM009420;De wildeman;1995;Bibliotheek AMFI
905.1;HV004885;Unbearable weight;2003;Bibliotheek AMFI
905.1;TM041444;Civilizations of the world;1990;Bibliotheek AMFI
905.1;TM041442;Civilizations of the world;1990;Bibliotheek AMFI
905.1;TM041443;Civilizations of the world;1990;Bibliotheek AMFI
905.1;TM009425;Constructing masculinity;1995;Bibliotheek AMFI
905.1;HV014975;Visible signs;2003;Bibliotheek AMFI
905.1;HV043973;Defining visual rhetorics;2004;Bibliotheek AMFI
905.1;TM045203;Naar Eva's beeld;1993;Bibliotheek AMFI
905.1;TM009908;Seeing and conciousness;1995;Bibliotheek AMFI
905.1;HV004889;Researching the visual;2000;Bibliotheek AMFI
905.1;HV014251;Empire of the senses;2005;Bibliotheek AMFI
905.1;TM010361;All consuming images;1988;Bibliotheek AMFI
905.1;HV107710;Fashion media;2013;Bibliotheek AMFI
905.1;HV060396;Fashion as photograph;2008;Bibliotheek AMFI
905.1;HV016992;Feminist visual culture;2001;Bibliotheek AMFI
905.1;TM009914;Fragments for a history of the human body;1989;Bibliotheek AMFI
905.1;HV002585;The image factory;2003;Bibliotheek AMFI
905.1;HV003124;Fugitive images;1995;Bibliotheek AMFI
905.1;HV099680;Visual research methods in fashion;2011;Bibliotheek AMFI
905.1;HV022727;Second-hand cultures;2003;Bibliotheek AMFI
905.1;HV079681;Body image;2007;Bibliotheek AMFI
905.1;HV021810;Hedendaagse verbeelding;2001;Bibliotheek AMFI
905.1;HV040192;Hidden track;2005;Bibliotheek AMFI
905.1;TM047905;A history of private life;1988;Bibliotheek AMFI
905.1;TM010901;Beneath the diamond sky;1997;Bibliotheek AMFI
905.1;HV021781;Iconoclash;2002;Bibliotheek AMFI
905.1;FM000026;The image society;2002;Bibliotheek AMFI
905.1;FM002704;Orlan;2000;Bibliotheek AMFI
905.1;TM024786;Jong!;2000;Bibliotheek AMFI
905.1;FM002388;The women we wanted to look like;1977;Bibliotheek AMFI
905.1;HV008843;Reading images;2006;Bibliotheek AMFI
905.1;HV067049;Kulturgeschichte der häuslichen Wäschepflege;2006;Bibliotheek AMFI
905.1;FM002963;A matter of taste;2000;Bibliotheek AMFI
905.1;HV084510;In the know;2007;Bibliotheek AMFI
905.1;HV112270;A history of the world in 100 objects;2010;Bibliotheek AMFI
905.1;HV016196;The architecture of the visible;2002;Bibliotheek AMFI
905.1;HV002282;An introduction to visual culture;1999;Bibliotheek AMFI
905.1;TM010335;Manners, morals, and class in England, 1774-1858;1994;Bibliotheek AMFI
905.1;TM017984;Decades of beauty;1998;Bibliotheek AMFI
905.1;HV078291;On air;2005;Bibliotheek AMFI
905.1;TM010805;Ons soort mensen;1997;Bibliotheek AMFI
905.1;HV106332;The senses of touch;2007;Bibliotheek AMFI
905.1;HV113911;Denken over beelden;2005;Bibliotheek AMFI
905.1;TM010624;The masculine masquerade;1995;Bibliotheek AMFI
905.1;TM024800;Beat culture and the New America: 1950-1965;1995;Bibliotheek AMFI
905.1;HV002107;De plaatjesmaatschapp?;2002;Bibliotheek AMFI
905.1;FM003020;Cool rules;2000;Bibliotheek AMFI
905.1;HV084508;The future of the image;2007;Bibliotheek AMFI
905.1;HV017634;Representation;1997;Bibliotheek AMFI
905.1;HV011217;Visual methodologies;2001;Bibliotheek AMFI
905.1;TM009423;Deathtripping;1995;Bibliotheek AMFI
905.1;FM002302;Fads;1978;Bibliotheek AMFI
905.1;HV106331;Sensory history;2007;Bibliotheek AMFI
905.1;FM002703;Sport, identity and ethnicity;1996;Bibliotheek AMFI
905.1;TM009422;An introduction to theories of popular culture;1995;Bibliotheek AMFI
905.1;HV051215;Practices of looking;2001;Bibliotheek AMFI
905.1;TM043077;Cult heroes;1989;Bibliotheek AMFI
905.1;TM022109;Spectacular bodies;1993;Bibliotheek AMFI
905.1;FM002775;Langzame stad, snelle mensen;1997;Bibliotheek AMFI
905.1;HV041142;Themanummer mondiale beeldcultuur;2006;Bibliotheek AMFI
 905.1  1;HV023690;News;2003;Bibliotheek AMFI
905.1;HV023691;Sex;2003;Bibliotheek AMFI
905.1;HV023689;Business;2003;Bibliotheek AMFI
905.1;HV023154;Visual culture;1997;Bibliotheek AMFI
905.1;HV018220;Bohemians;2003;Bibliotheek AMFI
905.1;HV038145;The regime of visibility;2005;Bibliotheek AMFI
 905.1 Ü;TM008456;Mode und Wohnen;1993;Bibliotheek AMFI
905.2;FM003614;Cultuur en kleedgedrag in de 20e eeuw;1985;Bibliotheek AMFI
905.2;HV107783;Cultuur en kleedgedrag in de 20e eeuw;1985;Bibliotheek AMFI
905.2;HV042651;Access to accessory;2005;Bibliotheek AMFI
905.2;HV114589;African dress;2013;Bibliotheek AMFI
905.2;TM024583;Appearance and power;1999;Bibliotheek AMFI
905.2;HV099722;Aware: art fashion identity;2010;Bibliotheek AMFI
905.2;HV013299;The sari;2003;Bibliotheek AMFI
905.2;HV056458;Nudity;2004;Bibliotheek AMFI
905.2;HV114561;Fashion as communication;2002;Bibliotheek AMFI
905.2;HV130662;The language of fashion;2013;Bibliotheek AMFI
905.2;HV114258;The fashion system;1990;Bibliotheek AMFI
905.2;TM016284;Fads schwören auf den Tummy-Terminator;1998;Bibliotheek AMFI
905.2;HV134179;Modegoden;2011;Bibliotheek AMFI
905.2;HV014706;Beyond desire;2005;Bibliotheek AMFI
905.2;TM045175;Muffs and morals;1953;Bibliotheek AMFI
905.2;FM002702;Body dressing;2001;Bibliotheek AMFI
905.2;HV113148;The body: connections with fashion;2008;Bibliotheek AMFI
905.2;HV113149;The body: connections with fashion;2008;Bibliotheek AMFI
905.2;TM017023;The impact of garments worn by female rock singers in music videos on consumer attitudes towards fas;1996;Bibliotheek AMFI
905.2;TM010371;The culture of fashion;1995;Bibliotheek AMFI
905.2;HV010110;Fashioning London;2004;Bibliotheek AMFI
905.2;HV068802;Goth culture;2008;Bibliotheek AMFI
905.2;HV107777;Nooit in burger;1991;Bibliotheek AMFI
905.2;HV037230;Furs and fabrics;2004;Bibliotheek AMFI
905.2;HV057206;The clothed body;2004;Bibliotheek AMFI
905.2;TM024050;Onze l?n door de t?d;1975;Bibliotheek AMFI
905.2;HV022465;Fashion classics from Carlyle to Barthes;2003;Bibliotheek AMFI
905.2;HV015038;The lure of perfection;2005;Bibliotheek AMFI
905.2;FM003712;Chic thrills;1992;Bibliotheek AMFI
905.2;TM003280;Chic thrills;1993;Bibliotheek AMFI
905.2;HV113318;Fashion and celebrity culture;2011;Bibliotheek AMFI
905.2;HV056740;Clothing as material culture;2005;Bibliotheek AMFI
905.2;HV013648;Clothing the Pacific;2003;Bibliotheek AMFI
905.2;TM042917;The fashion conspiracy;1989;Bibliotheek AMFI
905.2;FM003268;Don we now our gay apparel';2000;Bibliotheek AMFI
905.2;TM016700;Consuming fashion;1998;Bibliotheek AMFI
905.2;HV056477;The commodification of childhood;2004;Bibliotheek AMFI
905.2;TM007608;The face of fashion;1993;Bibliotheek AMFI
905.2;HV056728;Uniforms exposed;2005;Bibliotheek AMFI
905.2;HV096386;Fashion;2008;Bibliotheek AMFI
905.2;HV008837;Fashion and its social agendas;2000;Bibliotheek AMFI
905.2;TM022115;Culture and society;1991;Bibliotheek AMFI
905.2;HV046264;The meanings of dress;2005;Bibliotheek AMFI
905.2;TM043178;De dandy, of De overschr?ding van het alledaagse;1989;Bibliotheek AMFI
905.2;TM043177;De dandy, of De overschr?ding van het alledaagse;1989;Bibliotheek AMFI
905.2;FM002964;Dandies;2001;Bibliotheek AMFI
905.2;TM008104;Fashion, culture, and identity;1992;Bibliotheek AMFI
905.2;HV043653;Classic chic;2006;Bibliotheek AMFI
905.2;HV051483;The essence of style;2005;Bibliotheek AMFI
905.2;HV054933;Door consumptie tot individu;2008;Bibliotheek AMFI
905.2;HV112244;Devout/divine;2010;Bibliotheek AMFI
905.2;FM002705;Dressed to impress;2001;Bibliotheek AMFI
905.2;HV079908;Kleidung verändert;2007;Bibliotheek AMFI
905.2;TM017973;Venus and furs;1998;Bibliotheek AMFI
905.2;HV079161;A cultural history of fashion in the twentieth century;2007;Bibliotheek AMFI
905.2;FM003255;The Englishness of English dress;2002;Bibliotheek AMFI
905.2;HV008833;The fashioned body;2000;Bibliotheek AMFI
905.2;HV041363;Verslaafd aan mode?;2006;Bibliotheek AMFI
905.2;HV079077;Fashion theory;2007;Bibliotheek AMFI
905.2;HV079344;Fashion body cult;2007;Bibliotheek AMFI
905.2;HV114555;The fashion history reader;2010;Bibliotheek AMFI
905.2;FM002261;The fashion business;2000;Bibliotheek AMFI
905.2;HV107694;Fashion and imagination;2009;Bibliotheek AMFI
905.2;FM003235;Fashioning the body politic;2002;Bibliotheek AMFI
905.2;HV114582;Fashion beyond borders;2012;Bibliotheek AMFI
905.2;HV112040;Fashion & luxury: between heritage & innovation;2011;Bibliotheek AMFI
905.2;HV056736;Fashion and modernity;2005;Bibliotheek AMFI
905.2;HV003190;Fashion cultures;2000;Bibliotheek AMFI
905.2;HV066654;Fashion & accessories;2007;Bibliotheek AMFI
905.2;HV039564;Fashion DNA;2006;Bibliotheek AMFI
905.2;HV030921;Fashion's world cities;2006;Bibliotheek AMFI
905.2;HV057054;GeekChic;2005;Bibliotheek AMFI
905.2;HV107761;Nederlandse mode?;2014;Bibliotheek AMFI
905.2;HV070533;An intimate affair;2007;Bibliotheek AMFI
905.2;TM017044;After a fashion;1996;Bibliotheek AMFI
905.2;HV074637;Changing clothes in China;2007;Bibliotheek AMFI
905.2;TM022118;Dress code;1995;Bibliotheek AMFI
905.2;HV016863;Uniforms;2002;Bibliotheek AMFI
905.2;TM043744;Vested interests;1993;Bibliotheek AMFI
905.2;HV114567;Fashion and orientalism;2013;Bibliotheek AMFI
905.2;HV076233;Glamour;2004;Bibliotheek AMFI
905.2;HV050037;Global fashion, local tradition;2005;Bibliotheek AMFI
905.2;HV053610;Global fashion, local tradition;2005;Bibliotheek AMFI
905.2;HV101082;Global denim;2011;Bibliotheek AMFI
905.2;HV050034;The national fabric;2005;Bibliotheek AMFI
905.2;TM010782;S/he;1998;Bibliotheek AMFI
905.2;HV017041;Veil;1999;Bibliotheek AMFI
905.2;HV068882;Glamour;2008;Bibliotheek AMFI
905.2;HV107715;The handbook of fashion studies;2013;Bibliotheek AMFI
905.2;HV002179;Handbook of visual analysis;2001;Bibliotheek AMFI
905.2;TM024035;Mode en kleding;1976;Bibliotheek AMFI
905.2;FM000006;Defining dress;1999;Bibliotheek AMFI
905.2;FM003261;Goth;2002;Bibliotheek AMFI
905.2;HV114550;Sex and suits;1995;Bibliotheek AMFI
905.2;TM041152;Seeing through clothes;1988;Bibliotheek AMFI
905.2;HV041702;Alternative femininities;2004;Bibliotheek AMFI
905.2;HV153067;Islamic fashion and anti-fashion;2013;Bibliotheek AMFI
905.2;HV069316;Jane Jacobs' legacy;2008;Bibliotheek AMFI
905.2;HV063501;Fashion spreads;1999;Bibliotheek AMFI
905.2;HV066350;Mediapolis;2006;Bibliotheek AMFI
905.2;HV056077;Fashion-ology;2005;Bibliotheek AMFI
905.2;HV056734;The Japanese revolution in Paris fashion;2004;Bibliotheek AMFI
905.2;HV101416;Doing research in fashion and dress;2011;Bibliotheek AMFI
 905.2 Ö;TM045191;The restless image;1973;Bibliotheek AMFI
905.2;HV119363;Celebrity society;2012;Bibliotheek AMFI
905.2;HV078586;Fashion and fetishism;2004;Bibliotheek AMFI
905.2;HV154123;Cultuur en kleedgedrag, thema's;1986;Bibliotheek AMFI
905.2;TM008823;The importance of wearing clothes;1991;Bibliotheek AMFI
905.2;HV014671;The Latin American fashion reader;2005;Bibliotheek AMFI
905.2;TM047896;Kleding in Nederland, 1813-1920;1992;Bibliotheek AMFI
905.2;FM002938;Tigersprung;2000;Bibliotheek AMFI
905.2;TM041246;La robe;1983;Bibliotheek AMFI
905.2;TM010627;The empire of fashion;1994;Bibliotheek AMFI
905.2;HV067819;Changing fashion;2007;Bibliotheek AMFI
905.2;HV040447;De macht van mode;2006;Bibliotheek AMFI
905.2;HV041404;Mallarmé on Fashion;2004;Bibliotheek AMFI
905.2;HV005841;Zur Ausdifferenzierung der Sportmode;2005;Bibliotheek AMFI
905.2;HV014577;Dress and globalisation;2004;Bibliotheek AMFI
905.2;FM003711;British fashion design;1998;Bibliotheek AMFI
905.2;HV063761;The measure;2008;Bibliotheek AMFI
905.2;HV069099;The men's fashion reader;2009;Bibliotheek AMFI
905.2;HV063295;The men's fashion reader;2008;Bibliotheek AMFI
905.2;HV114622;Mensen en mode;1992;Bibliotheek AMFI
905.2;HV112404;Fashion and music;2011;Bibliotheek AMFI
905.2;TM022108;Bodyscape;1995;Bibliotheek AMFI
905.2;HV066653;Mode & accessoires;2007;Bibliotheek AMFI
905.2;HV107703;Mode en verbeelding;2009;Bibliotheek AMFI
905.2;TM042808;Moderne levensst?len;1990;Bibliotheek AMFI
905.2;FM002777;Modus;1990;Bibliotheek AMFI
905.2;TM041449;Modus;1990;Bibliotheek AMFI
905.2;FM002412;Modus;1990;Bibliotheek AMFI
905.2;FM002769;Inside subculture;2000;Bibliotheek AMFI
905.2;FM002965;Fur nation;2001;Bibliotheek AMFI
905.2;HV107669;Appearance and identity;2008;Bibliotheek AMFI
905.2;HV009145;Old clothes, new looks;2005;Bibliotheek AMFI
 905.2 ';HV017068;Cyborg;2002;Bibliotheek AMFI
905.2;HV066404;London;2007;Bibliotheek AMFI
905.2;FM003273;Playboys in paradise;2001;Bibliotheek AMFI
905.2;TM010556;The psychology of dress;1975;Bibliotheek AMFI
905.2;HV107704;The Devil's cloth;2001;Bibliotheek AMFI
905.2;HV037997;The fashion doll;2004;Bibliotheek AMFI
905.2;HV114517;Zoot suit;2011;Bibliotheek AMFI
905.2;FM007140;Werken aan de sch?n;1987;Bibliotheek AMFI
905.2;HV030292;Fashioning the bourgeoisie;1994;Bibliotheek AMFI
905.2;HV066799;Physical culture, power and the body;2007;Bibliotheek AMFI
905.2;HV101099;The places and spaces of fashion, 1800-2007;2009;Bibliotheek AMFI
905.2;HV113899;Boom!;2011;Bibliotheek AMFI
905.2;FM002443;Fashion & anti-fashion;1978;Bibliotheek AMFI
905.2;HV002788;The post-subcultures reader;2003;Bibliotheek AMFI
905.2;HV040991;The power of fashion;2006;Bibliotheek AMFI
905.2;HV062225;Producing fashion;2008;Bibliotheek AMFI
905.2;FM002852;Regency etiquette;1997;Bibliotheek AMFI
905.2;TM024205;Religion, dress and the body;1999;Bibliotheek AMFI
905.2;HV056739;Dress and morality;2003;Bibliotheek AMFI
905.2;HV096433;Fashioning the city;2009;Bibliotheek AMFI
905.2;HV069095;Clothing;2008;Bibliotheek AMFI
905.2;TM017045;Understanding fashion;1989;Bibliotheek AMFI
905.2;HV103204;The empire's new clothes;2009;Bibliotheek AMFI
905.2;FM002441;Why do they dress that way?;1986;Bibliotheek AMFI
905.2;HV018631;Mode in Italy;1999;Bibliotheek AMFI
905.2;HV017042;The veil unveiled;2001;Bibliotheek AMFI
905.2;HV038209;Leven als een dandy;2006;Bibliotheek AMFI
905.2;HV114505;Ik, cyborg;2012;Bibliotheek AMFI
905.2;TM024049;Sociale aspecten van kleding;1991;Bibliotheek AMFI
905.2;TM022116;Changing appearances;1994;Bibliotheek AMFI
905.2;TM017958;Paris fashion;1998;Bibliotheek AMFI
905.2;HV062691;Dressing modern Frenchwomen;2008;Bibliotheek AMFI
905.2;TM003292;Functions of dress;1987;Bibliotheek AMFI
905.2;TM016995;The style engine;1998;Bibliotheek AMFI
905.2;FM003023;Bound to please;2001;Bibliotheek AMFI
905.2;HV062788;Superheroes;2008;Bibliotheek AMFI
905.2;HV112737;Symposium 1: Modus operandi state of affairs in current research on Belgian fashion;2008;Bibliotheek AMFI
905.2;HV112738;Symposium 2: Seam & star - male elegance;2010;Bibliotheek AMFI
905.2;HV092082;Visibly Muslim;2010;Bibliotheek AMFI
905.2;TM010900;Clothing matters;1996;Bibliotheek AMFI
905.2;FM002776;Het seizoen;1993;Bibliotheek AMFI
905.2;TM041894;Het seizoen;1993;Bibliotheek AMFI
905.2;HV079431;Deluxe;2007;Bibliotheek AMFI
905.2;HV002588;Through the wardrobe;2001;Bibliotheek AMFI
905.2;HV021255;Total living;2002;Bibliotheek AMFI
905.2;HV107456;Couture culture;2003;Bibliotheek AMFI
905.2;FM000001;Undressing religion;2000;Bibliotheek AMFI
905.2;FM003382;Uniform;2000;Bibliotheek AMFI
905.2;TM041491;Van totem tot lifestyle;1987;Bibliotheek AMFI
905.2;HV016985;Veil;2003;Bibliotheek AMFI
 905.2  02;HV114525;On fashion and magic;2011;Bibliotheek AMFI
 905.2  03;HV114530;On fashion and shame;2012;Bibliotheek AMFI
 905.2  04;HV107730;On fashion and power;2013;Bibliotheek AMFI
905.2;HV092081;The anatomy of fashion;2009;Bibliotheek AMFI
905.2;HV005949;Fashion Zeitgeist;2005;Bibliotheek AMFI
905.2;HV042650;Wr?fpunten;2000;Bibliotheek AMFI
905.2;TM017936;Fashioning the frame;1998;Bibliotheek AMFI
905.2;HV030765;Queen of fashion;2006;Bibliotheek AMFI
905.2;HV107343;The fashion reader;2011;Bibliotheek AMFI
905.2;TM014029;Reconstructing Italian fashion;2000;Bibliotheek AMFI
905.2;HV000297;Adorned in dreams;2003;Bibliotheek AMFI
905.2;HV154130;Modekleding motivatie;1970;Bibliotheek AMFI
