Callnumber;Barcode;Title;Year;Location
AMFI: 369.1 GOBÉ;FM002885;Emotional branding;2001;Bibliotheek AMFI
AMFI: 369.1 GRAN;HV017072;After image;2003;Bibliotheek AMFI
AMFI: 369.1 HAME;HV114542;Fashion branding unraveled;2011;Bibliotheek AMFI
AMFI: 369.1 HATA;HV004952;Louis Vuitton Japan;2004;Bibliotheek AMFI
AMFI: 369.1 HELP;TM041952;"""Help ons""";1982;Bibliotheek AMFI
AMFI: 369.1 HERM;TM010596;Internet und Mode-Marketing;1997;Bibliotheek AMFI
AMFI: 369.1 INTR;TM016168;Introduction to fashion merchandising;1994;Bibliotheek AMFI
AMFI: 369.1 JACK;HV114564;Mastering fashion marketing;2009;Bibliotheek AMFI
AMFI: 369.1 KRAL;TM014340;Superbrands;1999;Bibliotheek AMFI
AMFI: 369.1 LEUN;TM017105;Gevolgen van veranderende t?dsbesteding voor de detailhandel;1998;Bibliotheek AMFI
AMFI: 369.1 MACK;HV096463;Fashion forecasting;2008;Bibliotheek AMFI
AMFI: 369.1 MCGO;TM000210;Retail marketing;1990;Bibliotheek AMFI
AMFI: 369.1 MODE;TM042204;Model '84;1984;Bibliotheek AMFI
AMFI: 369.1 MODE;HV016510;Mode, Marken, Märkte;2002;Bibliotheek AMFI
AMFI: 369.1 MUEL;FM003360;Marketing today's fashion;1995;Bibliotheek AMFI
AMFI: 369.1 NEUM;HV002291;The brand gap;2003;Bibliotheek AMFI
AMFI: 369.1 OKON;HV078907;Luxury fashion branding;2007;Bibliotheek AMFI
AMFI: 369.1 OLIN;HV012786;Wally Olins on brand;2003;Bibliotheek AMFI
AMFI: 369.1 ORIE;TM041699;Oriënterend onderzoek inzake problematiek afwijkende maten in de confectie;1983;Bibliotheek AMFI
AMFI: 369.1 OSS;TM041494;Mode & marketing;1991;Bibliotheek AMFI
AMFI: 369.1 PABS;TM017100;Kooperatives Handelsmarketing in der Bekleidungsindustrie;1998;Bibliotheek AMFI
AMFI: 369.1 PAOL;TM042874;Marketing today's fashion;1986;Bibliotheek AMFI
AMFI: 369.1 POPC;TM014252;EVEolution;2000;Bibliotheek AMFI
AMFI: 369.1 PRED;HV038954;How to market design consultancy services;2004;Bibliotheek AMFI
AMFI: 369.1 PRIN;HV068421;Principles of marketing;2008;Bibliotheek AMFI
AMFI: 369.1 RIES;TM014341;The 22 immutable laws of branding;2000;Bibliotheek AMFI
AMFI: 369.1 RIJKE;HV040687;Concepting;1998;Bibliotheek AMFI
AMFI: 369.1 ROOT;FM006191;Van trends naar brands;2001;Bibliotheek AMFI
AMFI: 369.1 TUNG;HV057533;Fashion brands;2005;Bibliotheek AMFI
AMFI: 369.1 VERH;TM011433;Strategische marketing;1994;Bibliotheek AMFI
AMFI: 369.1 VRIE;TM042203;"Memorandum t.b.v. de Hogere Technische School ""Mr. Koetsier""";1985;Bibliotheek AMFI
AMFI: 369.1 WEYN;TM016007;Marketing moet, ook in de mode;1992;Bibliotheek AMFI
AMFI: 369.11 KUND;HV021825;Kundenkarten im Einzelhandel;2002;Bibliotheek AMFI
AMFI: 369.11 TRÉG;TM010583;18 gulden regels voor seniorenmarketing, ofwel: Hoe munt te slaan uit de zilveren stroom;1997;Bibliotheek AMFI
AMFI: 369.11 VAN;HV114486;The conversation company;2012;Bibliotheek AMFI
AMFI: 369.13 ALBA;HV050746;Das Kundenbuch;1997;Bibliotheek AMFI
AMFI: 369.13 BOEH;TM041563;Wer kauft wo, warum;1990;Bibliotheek AMFI
AMFI: 369.13 DUTC;HV023529;The Dutch dandy;2003;Bibliotheek AMFI
AMFI: 369.13 LEEF;HV019600;Leefstijlen;2002;Bibliotheek AMFI
AMFI: 369.13 MALT;HV114569;Dutch identity in fashion: co-evolution between brands and consumers;2013;Bibliotheek AMFI
AMFI: 369.13 MOLE;FM003384;De impact van de IK-cultuur;2002;Bibliotheek AMFI
AMFI: 369.13 PERN;TM024601;Fashion forecasting;1987;Bibliotheek AMFI
AMFI: 369.13 PIET;FM007156;De emotiemarkt;2003;Bibliotheek AMFI
AMFI: 369.13 PINE;HV057322;De beleveniseconomie;2000;Bibliotheek AMFI
AMFI: 369.13 POPC;HV005117;Trends van overmorgen;1992;Bibliotheek AMFI
AMFI: 369.13 RAPP;TM024412;Rapport pubers;1999;Bibliotheek AMFI
AMFI: 369.13 RAYM;HV100604;The trend forecaster's handbook;2010;Bibliotheek AMFI
AMFI: 369.13 ROOT;HV053798;Zien;2005;Bibliotheek AMFI
AMFI: 369.13 SATT;FM003013;Going shopping;2001;Bibliotheek AMFI
AMFI: 369.13 SOLO;HV004897;Consumer behavior;2004;Bibliotheek AMFI
AMFI: 369.13 SOLO;HV068471;Consumer behavior in fashion;2009;Bibliotheek AMFI
